PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 CONFIDENCE,H0 H0_RAW_spectral_flatness,H0 H0_FILTERED_spectral_centroid_hz,H0 H0_FILTERED_time_to_secondary_peak_ms,H0 H0_RAW_rise_time_ms,H0 H0_RAW_spectral_centroid_hz,H0 H0_FILTERED_rise_time_ms,H0 H0_FILTERED_fwhm_ms,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 CONFIDENCE,H1 RAW_spectral_flatness,H1 FILTERED_spectral_centroid_hz,H1 FILTERED_time_to_secondary_peak_ms,H1 RAW_rise_time_ms,H1 RAW_spectral_centroid_hz,H1 FILTERED_rise_time_ms,H1 FILTERED_fwhm_ms,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 CONFIDENCE,H2 RAW_spectral_flatness,H2 FILTERED_spectral_centroid_hz,H2 FILTERED_time_to_secondary_peak_ms,H2 RAW_rise_time_ms,H2 RAW_spectral_centroid_hz,H2 FILTERED_rise_time_ms,H2 FILTERED_fwhm_ms,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 CONFIDENCE,H3 RAW_spectral_flatness,H3 FILTERED_spectral_centroid_hz,H3 FILTERED_time_to_secondary_peak_ms,H3 RAW_rise_time_ms,H3 RAW_spectral_centroid_hz,H3 FILTERED_rise_time_ms,H3 FILTERED_fwhm_ms
H0_Closest_0FT_epoch_40,H0,0FT,True,0,True,1.4645615217499999,True,VALID,True,1.0,0.22353451,32005.165282703994,14.0352,0.18048,62157.50107147011,0.47104,3.84768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_41,H0,0FT,True,0,True,0.64097624175,True,VALID,True,0.99,0.284884,31982.00593342187,9.54624,0.416,71649.8069566354,0.4608,0.55936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_42,H0,0FT,True,0,True,1.74402392175,True,VALID,True,0.95,0.25230253,31968.875906106656,18.269440000000003,4.0064,66732.48849544532,0.50688,1.05216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_43,H0,0FT,True,0,True,0.97496920175,True,VALID,True,1.0,0.24085903,31958.53013859004,10.17088,2.50752,65625.1123366334,0.50176,0.63104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_44,H0,0FT,False,0,True,0.02395352175,False,TOO_EARLY,True,0.99,0.25244114,31937.81089069063,22.85952,0.416,66892.72534327803,0.47615999999999997,0.65536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_45,H0,0FT,True,0,True,1.26462040175,True,VALID,True,1.0,0.21876812,32060.424053822804,10.60224,4.13184,62035.20217073283,0.74624,3.7696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_46,H0,0FT,True,0,True,0.40836824175,True,VALID,True,1.0,0.23409356,31959.433593617225,6.9196800000000005,0.41216,64146.75122138077,0.4288,1.0163200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_47,H0,0FT,True,0,True,1.54355160175,True,VALID,True,0.99,0.22303201,32028.9466931407,14.53952,0.416,62864.68996608262,3.8617600000000003,0.90496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_48,H0,0FT,True,0,True,0.79621848175,True,VALID,True,1.0,0.23337534,31977.954261555093,6.70208,1.13152,63255.13165139733,1.31328,3.70816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0_Closest_0FT_epoch_49,H0,0FT,True,0,True,1.90652760175,True,VALID,True,0.96,0.26591367,31945.057187674545,20.42368,0.5158400000000001,68566.58016424841,3.61088,2.2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
