PATH,CLOSEST_HYDROPHONE,DISTANCE,ALL_VALID,PREDICTED,IS_NEARBY,H0 TOA,H0 VALID,H0 REASON,H0 IS_NEARBY,H0 PING_WIDTH,H1 TOA,H1 VALID,H1 REASON,H1 IS_NEARBY,H1 PING_WIDTH,H2 TOA,H2 VALID,H2 REASON,H2 IS_NEARBY,H2 PING_WIDTH,H3 TOA,H3 VALID,H3 REASON,H3 IS_NEARBY,H3 PING_WIDTH
H0_Closest_40FT_epoch_27,H0,40FT,True,0,False,0.73848792175,True,VALID,False,0.02187648,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_28,H0,40FT,True,0,False,1.91413848175,True,VALID,False,0.01815296,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_29,H0,40FT,True,0,False,1.0866389617499999,True,VALID,False,0.02349312,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_3,H0,40FT,True,0,False,0.33809112175,True,VALID,False,0.02071168,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_30,H0,40FT,True,0,False,0.15822424175,True,VALID,False,0.01479808,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_31,H0,40FT,True,0,True,1.2421359217499999,True,VALID,True,0.0146176,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_32,H0,40FT,True,0,False,0.37764440175,True,VALID,False,0.01482368,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_33,H0,40FT,True,0,True,1.68713304175,True,VALID,True,0.01443072,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_34,H0,40FT,True,0,False,0.5794223217500001,True,VALID,False,0.01529088,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_35,H0,40FT,True,0,False,1.7438984817499998,True,VALID,False,0.01875712,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_36,H0,40FT,True,0,True,0.91189592175,True,VALID,True,0.00994432,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_37,H0,40FT,False,0,False,0.041190001749999997,False,TOO_EARLY,False,0.0200064,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_38,H0,40FT,True,0,False,0.83874008175,True,VALID,False,0.01630976,,,,,,,,,,,,,,,
H0_Closest_40FT_epoch_39,H0,40FT,False,0,True,2.0015688817500004,False,TOO_LATE,True,0.01350016,,,,,,,,,,,,,,,
