PATH,TRUTH,PREDICTED,H0 TOA,H1 TOA,H2 TOA,H3 TOA,ALL_VALID,H0 VALID,H1 VALID,H2 VALID,H3 VALID,H0 REASON,H1 REASON,H2 REASON,H3 REASON,H0 NEARBY,H1 NEARBY,H2 NEARBY,H3 NEARBY,H0 NEARBY_VALID,H1 NEARBY_VALID,H2 NEARBY_VALID,H3 NEARBY_VALID,H0 DELTA_T,H1 DELTA_T,H2 DELTA_T,H3 DELTA_T
H0_Closest_20FT_epoch_61,,0,0.88884056175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.0232448,,,
H0_Closest_20FT_epoch_62,,0,0.009049201750000001,,,,False,False,,,,TOO_EARLY,,,,False,,,,False,,,,2.05297536,,,
H0_Closest_20FT_epoch_63,,0,1.14293080175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01343872,,,
H0_Closest_20FT_epoch_64,,0,0.32147928175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01108608,,,
H0_Closest_20FT_epoch_65,,0,1.5058799217499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01150976,,,
H0_Closest_20FT_epoch_66,,0,0.61506008175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01607936,,,
H0_Closest_20FT_epoch_67,,0,1.82571224175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01121408,,,
H0_Closest_20FT_epoch_68,,0,0.9750549617500001,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01171584,,,
H0_Closest_20FT_epoch_69,,0,0.06487640175,,,,False,False,,,,TOO_EARLY,,,,True,,,,False,,,,0.01137792,,,
H0_Closest_20FT_epoch_70,,0,1.1329954417499999,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.02145408,,,
H0_Closest_20FT_epoch_71,,0,0.26854104175000004,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.01133184,,,
H0_Closest_20FT_epoch_72,,0,1.34685400175,,,,True,True,,,,VALID,,,,True,,,,False,,,,0.03336064,,,
